IPV6频道,#genre#
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江钱江频道,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江数码时代,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
频道广西频道,#genre#
南宁新闻综合,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁都市生活,http://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁都市生活,https://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁新闻综合,http://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁影视娱乐,https://hls.nntv.cn/nnlive/YSYL_24.m3u8
南宁影视娱乐,http://hls.nntv.cn/nnlive/YSYL_24.m3u8
玉林新闻综合,http://51742.hlsplay.aodianyun.com/tv_radio_51742/tv_channel_3289.m3u8?auth_key=4846965841-0-0-9764667fa15da8675d9343a9d685e93b&extra_key=3G7phQNujucfjDfVZX7XtFsfMjeELWIZpjNRADdYpRWOUdAykIw7RkxbAmiF9U934MKf8LNlRPUVp9ooT4UEvKJQlaJrZuMqJnw-UvayII5G4kw7jFgAqhhjpD4DC7gyZEtynT7zMnF8xzE3J1g6soaagSkmkag_tsjqRTH1zeM
南宁公共,http://hls.nntv.cn/nnlive/GGPD_24.m3u8
南宁公共,https://hls.nntv.cn/nnlive/GGPD_24.m3u8
北海新闻综合,http://citylive.njgdmm.com/live/da147a8a-dedb-4213-8519-ab99395f4317.m3u8
南宁电视台,http://hls.nntv.cn/nnlive/LYL1_24.m3u8
南宁电视台,https://hls.nntv.cn/nnlive/LYL1_24.m3u8
北海新闻综合,http://rtmp.gdlive.gdmain.com/live/09em4xbl.m3u8
北海新闻综合,https://rtmp.gdlive.gdmain.com/live/09em4xbl.m3u8
北海新闻综合,http://lives.myun.tv/live/09em4xbl.m3u8
北海新闻综合,http://pull0503gxd.myun.tv/live/09em4xbl.m3u8
北海新闻综合,https://pull0503gxd.myun.tv/live/09em4xbl.m3u8
北海新闻综合,https://lives.myun.tv/live/09em4xbl.m3u8
北海经济科教,https://rtmp.gdlive.gdmain.com/live/ln9rndz0.m3u8
北海经济科教,http://rtmp.gdlive.gdmain.com/live/ln9rndz0.m3u8
北海经济科教,http://citylive.njgdmm.com:80/beihai/6c0bd8ab-9761-4dc5-95ac-1bb3e31daced.m3u8
北海经济科教,http://lives.myun.tv/live/ln9rndz0.m3u8
北海经济科教,https://lives.myun.tv/live/ln9rndz0.m3u8
北海经济科教,https://pull0503gxd.myun.tv/live/ln9rndz0.m3u8
北海经济科教,http://pull0503gxd.myun.tv/live/ln9rndz0.m3u8
北海图文,http://citylive.njgdmm.com:80/beihai/d49b9838-dacf-4a22-ab46-1eed2b515d88.m3u8
崇左新闻综合,http://rtmp.gdlive.gdmain.com/live/5podkk10.m3u8
崇左新闻综合,https://rtmp.gdlive.gdmain.com/live/5podkk10.m3u8
